Date,Count,Date,Census_Tracts,PoliceDistrict
2017-04-09,42,2017-04-09,1002.0,Eastern
2017-04-16,55,2017-04-16,1002.0,Eastern
2017-04-23,50,2017-04-23,1002.0,Eastern
2017-04-30,53,2017-04-30,1002.0,Eastern
2017-05-07,68,2017-05-07,1002.0,Eastern
2017-05-14,52,2017-05-14,1002.0,Eastern
2017-05-21,75,2017-05-21,1002.0,Eastern
2017-05-28,76,2017-05-28,1002.0,Eastern
2017-06-04,51,2017-06-04,1002.0,Eastern
2017-06-11,51,2017-06-11,1002.0,Eastern
2017-06-18,72,2017-06-18,1002.0,Eastern
2017-06-25,79,2017-06-25,1002.0,Eastern
2017-07-02,94,2017-07-02,1002.0,Eastern
2017-07-09,76,2017-07-09,1002.0,Eastern
2017-07-16,56,2017-07-16,1002.0,Eastern
2017-07-23,63,2017-07-23,1002.0,Eastern
2017-07-30,59,2017-07-30,1002.0,Eastern
2017-08-06,66,2017-08-06,1002.0,Eastern
2017-08-13,56,2017-08-13,1002.0,Eastern
2017-08-20,76,2017-08-20,1002.0,Eastern
2017-08-27,68,2017-08-27,1002.0,Eastern
2017-09-03,58,2017-09-03,1002.0,Eastern
2017-09-10,60,2017-09-10,1002.0,Eastern
2017-09-17,59,2017-09-17,1002.0,Eastern
2017-09-24,66,2017-09-24,1002.0,Eastern
2017-10-01,37,2017-10-01,1002.0,Eastern
2017-10-08,69,2017-10-08,1002.0,Eastern
2017-10-15,66,2017-10-15,1002.0,Eastern
2017-10-22,77,2017-10-22,1002.0,Eastern
2017-10-29,57,2017-10-29,1002.0,Eastern
2017-11-05,44,2017-11-05,1002.0,Eastern
2017-11-12,62,2017-11-12,1002.0,Eastern
2017-11-19,39,2017-11-19,1002.0,Eastern
2017-11-26,36,2017-11-26,1002.0,Eastern
2017-12-03,57,2017-12-03,1002.0,Eastern
2017-12-10,49,2017-12-10,1002.0,Eastern
2017-12-17,53,2017-12-17,1002.0,Eastern
2017-12-24,53,2017-12-24,1002.0,Eastern
2017-12-31,56,2017-12-31,1002.0,Eastern
2018-01-07,47,2018-01-07,1002.0,Eastern
2018-01-14,42,2018-01-14,1002.0,Eastern
2018-01-21,73,2018-01-21,1002.0,Eastern
2018-01-28,57,2018-01-28,1002.0,Eastern
2018-02-04,38,2018-02-04,1002.0,Eastern
2018-02-11,35,2018-02-11,1002.0,Eastern
2018-02-18,39,2018-02-18,1002.0,Eastern
2018-02-25,41,2018-02-25,1002.0,Eastern
2018-03-04,54,2018-03-04,1002.0,Eastern
2018-03-11,39,2018-03-11,1002.0,Eastern
2018-03-18,52,2018-03-18,1002.0,Eastern
2018-03-25,43,2018-03-25,1002.0,Eastern
2018-04-01,58,2018-04-01,1002.0,Eastern
2018-04-08,68,2018-04-08,1002.0,Eastern
2018-04-15,55,2018-04-15,1002.0,Eastern
2018-04-22,53,2018-04-22,1002.0,Eastern
2018-04-29,44,2018-04-29,1002.0,Eastern
2018-05-06,40,2018-05-06,1002.0,Eastern
2018-05-13,31,2018-05-13,1002.0,Eastern
2018-05-20,38,2018-05-20,1002.0,Eastern
2018-05-27,63,2018-05-27,1002.0,Eastern
2018-06-03,50,2018-06-03,1002.0,Eastern
2018-06-10,50,2018-06-10,1002.0,Eastern
2018-06-17,53,2018-06-17,1002.0,Eastern
2018-06-24,60,2018-06-24,1002.0,Eastern
2018-07-01,36,2018-07-01,1002.0,Eastern
2018-07-08,29,2018-07-08,1002.0,Eastern
2018-07-15,50,2018-07-15,1002.0,Eastern
2018-07-22,50,2018-07-22,1002.0,Eastern
2018-07-29,71,2018-07-29,1002.0,Eastern
2018-08-05,49,2018-08-05,1002.0,Eastern
2018-08-12,75,2018-08-12,1002.0,Eastern
2018-08-19,59,2018-08-19,1002.0,Eastern
2018-08-26,60,2018-08-26,1002.0,Eastern
2018-09-02,34,2018-09-02,1002.0,Eastern
2018-09-09,57,2018-09-09,1002.0,Eastern
2018-09-16,61,2018-09-16,1002.0,Eastern
2018-09-23,55,2018-09-23,1002.0,Eastern
2018-09-30,40,2018-09-30,1002.0,Eastern
2018-10-07,74,2018-10-07,1002.0,Eastern
2018-10-14,63,2018-10-14,1002.0,Eastern
2018-10-21,35,2018-10-21,1002.0,Eastern
2018-10-28,43,2018-10-28,1002.0,Eastern
2018-11-04,65,2018-11-04,1002.0,Eastern
2018-11-11,41,2018-11-11,1002.0,Eastern
2018-11-18,46,2018-11-18,1002.0,Eastern
2018-11-25,66,2018-11-25,1002.0,Eastern
2018-12-02,44,2018-12-02,1002.0,Eastern
2018-12-09,63,2018-12-09,1002.0,Eastern
2018-12-16,51,2018-12-16,1002.0,Eastern
2018-12-23,59,2018-12-23,1002.0,Eastern
