STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Police_district_x,district
24,510,260302,24510260302,2603.02,2603.02,G5020,S,896758,0,39.3170682,-76.56442779999999,Northeastern,13.0
24,510,080400,24510080400,804,804.0,G5020,S,250976,0,39.305671399999994,-76.58616590000001,Eastern,13.0
24,510,260401,24510260401,2604.01,2604.01,G5020,S,1341147,0,39.3062321,-76.5527959,Northeastern,13.0
24,510,080200,24510080200,802,802.0,G5020,S,856268,0,39.311965,-76.5816166,Eastern,13.0
24,510,080102,24510080102,801.02,801.02,G5020,S,365633,0,39.3170456,-76.57589200000001,Northeastern,13.0
24,510,260303,24510260303,2603.03,2603.03,G5020,S,1218969,0,39.3125926,-76.56047120000001,Northeastern,13.0
24,510,080301,24510080301,803.01,803.01,G5020,S,268608,0,39.305701299999996,-76.5820327,Eastern,13.0
24,510,060200,24510060200,602,602.0,G5020,S,257736,0,39.294429799999996,-76.5806137,Southeastern,13.0
24,510,020100,24510020100,201,201.0,G5020,S,174536,0,39.288771200000006,-76.58877159999999,Southeastern,13.0
24,510,130700,24510130700,1307,1307.0,G5020,S,1055558,0,39.3366684,-76.63165759999998,Northern,14.0
24,510,090700,24510090700,907,907.0,G5020,S,435082,0,39.3209223,-76.5956215,Northeastern,14.0
24,510,090600,24510090600,906,906.0,G5020,S,397270,0,39.3254965,-76.5902057,Northeastern,14.0
24,510,090500,24510090500,905,905.0,G5020,S,741595,0,39.3249389,-76.6012005,Northern,14.0
24,510,090400,24510090400,904,904.0,G5020,S,352240,0,39.32278170000001,-76.60649120000001,Northern,14.0
24,510,090300,24510090300,903,903.0,G5020,S,794362,0,39.331232799999995,-76.602379,Northern,14.0
24,510,120201,24510120201,1202.01,1202.01,G5020,S,348020,0,39.3279849,-76.6118803,Northern,14.0
24,510,090200,24510090200,902,902.0,G5020,S,1737308,288605,39.3341698,-76.58556120000001,Northeastern,14.0
24,510,120100,24510120100,1201,1201.0,G5020,S,1036127,0,39.3365253,-76.61650920000001,Northern,14.0
24,510,080500,24510080500,805,805.0,G5020,S,348376,0,39.3141597,-76.5938464,Eastern,14.0
24,510,271400,24510271400,2714,2714.0,G5020,S,1723810,0,39.3468325,-76.6336523,Northern,14.0
24,510,260403,24510260403,2604.03,2604.03,G5020,S,1706884,0,39.3148057,-76.53504509999999,Northeastern,2.0
24,510,270502,24510270502,2705.02,2705.02,G5020,S,1539775,0,39.35706029999999,-76.54419449999999,Northeastern,2.0
24,510,260402,24510260402,2604.02,2604.02,G5020,S,1338498,0,39.3168618,-76.541276,Northeastern,2.0
24,510,260202,24510260202,2602.02,2602.02,G5020,S,1019290,1618,39.324893599999996,-76.55780440000001,Northeastern,2.0
24,510,260201,24510260201,2602.01,2602.01,G5020,S,1635881,0,39.329644200000004,-76.5501117,Northeastern,2.0
24,510,260900,24510260900,2609,2609.0,G5020,S,550656,0,39.2833026,-76.5656489,Southeastern,2.0
24,510,270501,24510270501,2705.01,2705.01,G5020,S,2319872,2012,39.3656275,-76.5361691,Northeastern,2.0
24,510,270401,24510270401,2704.01,2704.01,G5020,S,1457278,0,39.3462013,-76.5467855,Northeastern,2.0
24,510,260101,24510260101,2601.01,2601.01,G5020,S,1635742,0,39.343888,-76.5353622,Northeastern,2.0
24,510,260102,24510260102,2601.02,2601.02,G5020,S,1451520,0,39.33497,-76.5404207,Northeastern,2.0
24,510,260203,24510260203,2602.03,2602.03,G5020,S,890682,0,39.3225998,-76.54379770000001,Northeastern,2.0
24,510,270301,24510270301,2703.01,2703.01,G5020,S,1138586,0,39.3488225,-76.5722949,Northeastern,3.0
24,510,270200,24510270200,2702,2702.0,G5020,S,938519,0,39.3406569,-76.57442979999999,Northeastern,3.0
24,510,270302,24510270302,2703.02,2703.02,G5020,S,519259,0,39.344897499999995,-76.5638561,Northeastern,3.0
24,510,270600,24510270600,2706,2706.0,G5020,S,1553849,0,39.3583451,-76.5660286,Northeastern,3.0
24,510,270102,24510270102,2701.02,2701.02,G5020,S,1021030,0,39.3384113,-76.5597082,Northeastern,3.0
24,510,270402,24510270402,2704.02,2704.02,G5020,S,1201223,0,39.3512325,-76.5540354,Northeastern,3.0
24,510,270101,24510270101,2701.01,2701.01,G5020,S,954112,2251,39.3332755,-76.568432,Northeastern,3.0
24,510,270902,24510270902,2709.02,2709.02,G5020,S,1132898,0,39.3509521,-76.5843196,Northeastern,3.0
24,510,270703,24510270703,2707.03,2707.03,G5020,S,993947,0,39.3686909,-76.5542537,Northeastern,3.0
24,510,080101,24510080101,801.01,801.01,G5020,S,2323952,1899,39.322849,-76.579024,Northeastern,3.0
24,510,270701,24510270701,2707.01,2707.01,G5020,S,387936,0,39.3699901,-76.5664177,Northeastern,3.0
24,510,270903,24510270903,2709.03,2709.03,G5020,S,1089334,0,39.3426876,-76.5900973,Northeastern,3.0
24,510,270702,24510270702,2707.02,2707.02,G5020,S,848720,0,39.364416600000006,-76.56280859999998,Northeastern,3.0
24,510,270901,24510270901,2709.01,2709.01,G5020,S,677441,0,39.34997,-76.594983,Northeastern,4.0
24,510,270804,24510270804,2708.04,2708.04,G5020,S,721489,0,39.3686599,-76.60458790000001,Northern,4.0
24,510,270803,24510270803,2708.03,2708.03,G5020,S,2190787,2110,39.364276200000006,-76.580326,Northeastern,4.0
24,510,271001,24510271001,2710.01,2710.01,G5020,S,505077,0,39.343025399999995,-76.60505859999999,Northern,4.0
24,510,270801,24510270801,2708.01,2708.01,G5020,S,808307,0,39.369198700000005,-76.5912458,Northern,4.0
24,510,271101,24510271101,2711.01,2711.01,G5020,S,1011783,0,39.3498089,-76.61630600000001,Northern,4.0
24,510,271102,24510271102,2711.02,2711.02,G5020,S,1227625,29218,39.3451675,-76.620233,Northern,4.0
24,510,271200,24510271200,2712,2712.0,G5020,S,3599462,933,39.3637054,-76.6203629,Northern,4.0
24,510,090100,24510090100,901,901.0,G5020,S,657875,0,39.3369651,-76.6036954,Northern,4.0
24,510,270802,24510270802,2708.02,2708.02,G5020,S,1099564,0,39.3614244,-76.5928428,Northeastern,4.0
24,510,270805,24510270805,2708.05,2708.05,G5020,S,1248265,0,39.359624100000005,-76.60335090000001,Northern,4.0
24,510,271002,24510271002,2710.02,2710.02,G5020,S,955654,0,39.350412799999994,-76.604392,Northern,4.0
24,510,271700,24510271700,2717,2717.0,G5020,S,1734100,0,39.351553,-76.66933320000001,Northern,5.0
24,510,271501,24510271501,2715.01,2715.01,G5020,S,3628340,18282,39.36422329999999,-76.66147600000001,Northern,5.0
24,510,272007,24510272007,2720.07,2720.07,G5020,S,802298,0,39.3636968,-76.70648809999999,Northwestern,5.0
24,510,271802,24510271802,2718.02,2718.02,G5020,S,530270,0,39.3446843,-76.67706899999999,Northwestern,5.0
24,510,271900,24510271900,2719,2719.0,G5020,S,1398986,0,39.3556338,-76.68215140000001,Northwestern,5.0
24,510,272006,24510272006,2720.06,2720.06,G5020,S,736776,0,39.3566463,-76.6965328,Northwestern,5.0
24,510,272004,24510272004,2720.04,2720.04,G5020,S,708926,0,39.368612,-76.6890444,Northwestern,5.0
24,510,272005,24510272005,2720.05,2720.05,G5020,S,927829,0,39.368687200000004,-76.70100649999999,Northwestern,5.0
24,510,280101,24510280101,2801.01,2801.01,G5020,S,1408316,0,39.3516279,-76.6998407,Northwestern,5.0
24,510,272003,24510272003,2720.03,2720.03,G5020,S,1934714,0,39.3633286,-76.68547240000001,Northwestern,5.0
24,510,271801,24510271801,2718.01,2718.01,G5020,S,557962,0,39.34775020000001,-76.6834693,Northwestern,5.0
24,510,150900,24510150900,1509,1509.0,G5020,S,1447256,1171,39.31422070000001,-76.68429990000001,Northwestern,6.0
24,510,271503,24510271503,2715.03,2715.03,G5020,S,742763,1671,39.3534054,-76.6448877,Northern,6.0
24,510,271300,24510271300,2713,2713.0,G5020,S,2863370,3175,39.362828,-76.6395253,Northern,6.0
24,510,151000,24510151000,1510,1510.0,G5020,S,1484010,0,39.333356099999996,-76.6843834,Northwestern,6.0
24,510,151100,24510151100,1511,1511.0,G5020,S,1698800,0,39.3303769,-76.6723437,Northwestern,6.0
24,510,130806,24510130806,1308.06,1308.06,G5020,S,1406474,707,39.3346113,-76.6503321,Northern,6.0
24,510,271600,24510271600,2716,2716.0,G5020,S,850296,0,39.343205100000006,-76.6655877,Northern,6.0
24,510,151300,24510151300,1513,1513.0,G5020,S,927386,0,39.3378526,-76.66618759999999,Northwestern,6.0
24,510,280102,24510280102,2801.02,2801.02,G5020,S,3498687,0,39.3411885,-76.70008309999999,Northwestern,6.0
24,510,130805,24510130805,1308.05,1308.05,G5020,S,1632325,6396,39.3521339,-76.6522287,Northern,6.0
24,510,150800,24510150800,1508,1508.0,G5020,S,1089494,0,39.3189672,-76.6778103,Northwestern,6.0
